reporting_name	reporting_id	taxids	compound_id	class_type	subclass	nucleic_acid	RNA	DNA	seqids_in_rna_db	seqids_in_dna_db	semantic_group	core
AKT8 retrovirus	20703	12438	20703_12438	viral	viral	retro	virus	.	1	0	.	.
ANAJ Hantavirus	20907	1244521	20907_1244521	viral	viral	RNA	virus	.	1	0	.	.
ANMV-1 virus	20940	1605378	20940_1605378	viral	viral	unclear	virus	.	1	0	.	.
APSE phage Eptesicus fuscus/P5/IT/USA/2009	21043	931927	21043_931927	viral	phage	unclear	virus	.	1	0	.	.
Abaca bunchy top virus	20322	438782	20322_438782	viral	plant_virus	DNA	virus	.	12	0	.	.
Abalone herpesvirus	20323	1821058,1241371	20323_1821058	viral	viral	DNA	virus	.	3	0	.	.
Abalone shriveling syndrome-associated virus	20324	491893	20324_491893	viral	viral	DNA	virus	.	2	0	.	.
Abbey lake orthobunyavirus	20325	1501396	20325_1501396	viral	viral	RNA	virus	.	3	0	.	.
Abelson murine leukemia virus	20326	11788	20326_11788	viral	viral	retro	virus	.	2	0	.	.
Abiotrophia defectiva	2228	46125	2228_46125	bacterial	bacterial	.	16s	bg	7	1	.	bg
Abisko virus	20327	2025595	20327_2025595	viral	viral	RNA	virus	.	1	0	.	.
Abortiporus biennis	15755	137743	15755_137743	fungal	fungal	.	18s	.	1	0	.	.
Abrothallus cladoniae	17838	1491766	17838_1491766	fungal	fungal	.	18s	.	1	0	.	.
Abrothallus parmeliarum	16585	1491768	16585_1491768	fungal	fungal	.	18s	.	2	0	.	.
Abrothallus parmotrematis	16376	1491769	16376_1491769	fungal	fungal	.	18s	.	1	0	.	.
Abrothallus usneae	15801	1491772	15801_1491772	fungal	fungal	.	18s	.	1	0	.	.
Absidia caerulea	16923	90261	16923_90261	fungal	fungal	.	18s	.	2	0	.	.
Absidia glauca	19160	4829	19160_4829	fungal	fungal	.	18s	.	3	0	.	.
Absidia psychrophilia	18755	327743	18755_327743	fungal	fungal	.	18s	.	1	0	.	.
Absidia repens	15762	90262	15762_90262	fungal	fungal	.	18s	.	2	0	.	.
Absiella dolichum	3013	31971	3013_31971	bacterial	bacterial	.	16s	bg	2	1	.	bg
Absiella tortuosum	9996	39494	9996_39494	bacterial	bacterial	.	16s	.	1	0	.	.
Abutilon Brazil virus	20330	665102	20330_665102	viral	plant_virus	DNA	virus	.	2	0	.	.
Abutilon golden mosaic Yucatan virus	20333	1312723	20333_1312723	viral	plant_virus	DNA	virus	.	1	0	.	.
Abutilon mosaic Bolivia virus	20334	932071	20334_932071	viral	plant_virus	DNA	virus	.	2	0	.	.
Abutilon mosaic Brazil virus	20335	1046572	20335_1046572	viral	plant_virus	DNA	virus	.	4	0	.	.
Abutilon mosaic virus	20336	1313346,10815,222059	20336_10815	viral	plant_virus	DNA	virus	.	11	0	.	.
Abutilon yellow mosaic virus	20337	515303	20337_515303	viral	plant_virus	RNA	virus	.	1	0	.	.
Abutilon yellows virus	20338	169102	20338_169102	viral	plant_virus	RNA	virus	.	1	0	.	.
Abyssicoccus albus	14370	1817405	14370_1817405	bacterial	bacterial	.	16s	.	3	0	.	.
Acalypha yellow mosaic Siliguri virus	20340	1148153	20340_1148153	viral	plant_virus	DNA	virus	.	1	0	.	.
Acalypha yellow mosaic virus	20341	1143700	20341_1143700	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthamoeba astronyxis	19736	65658	19736_65658	parasite	parasite	.	18s	pg	2	1	.	.
Acanthamoeba castellanii	19668	5755	19668_5755	parasite	parasite	.	18s	pg	16	3	.	.
Acanthamoeba castellanii mamavirus	20342	554168	20342_554168	viral	protist_virus	DNA	virus	.	2	0	.	.
Acanthamoeba castellanii mimivirus	20343	1899318	20343_1899318	viral	protist_virus	DNA	virus	.	2	0	.	.
Acanthamoeba comandoni	19719	65659	19719_65659	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba culbertsoni	19664	43142	19664_43142	parasite	parasite	.	18s	pg	2	1	.	.
Acanthamoeba divionensis	19735	202919	19735_202919	parasite	parasite	.	18s	pg	2	1	.	.
Acanthamoeba griffini	20252	29195	20252_29195	parasite	parasite	.	18s	.	3	0	.	.
Acanthamoeba hatchetti	19998	65660	19998_65660	parasite	parasite	.	18s	.	7	0	.	.
Acanthamoeba healyi	19648	65661	19648_65661	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba jacobsi	20019	238784	20019_238784	parasite	parasite	.	18s	.	8	0	.	.
Acanthamoeba lenticulata	19691	29196	19691_29196	parasite	parasite	.	18s	pg	12	3	.	.
Acanthamoeba lugdunensis	19713	61605	19713_61605	parasite	parasite	.	18s	pg	2	1	.	.
Acanthamoeba mauritaniensis	19675	196912	19675_196912	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba micheli	19834	1675013	19834_1675013	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba palestinensis	19671	28015	19671_28015	parasite	parasite	.	18s	pg	4	1	.	.
Acanthamoeba pearcei	19756	65662	19756_65662	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba polyphaga	19724	5757	19724_5757	parasite	parasite	.	18s	pg	14	1	.	.
Acanthamoeba polyphaga lentillevirus	20344	1077221	20344_1077221	viral	protist_virus	DNA	virus	.	8	0	.	.
Acanthamoeba polyphaga mimivirus	20345	212035,1835008	20345_1835008	viral	protist_virus	DNA	virus	.	10	0	.	.
Acanthamoeba polyphaga moumouvirus	20346	1269028	20346_1269028	viral	protist_virus	DNA	virus	.	2	0	.	.
Acanthamoeba pustulosa	19927	65663	19927_65663	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba pyriformis	20006	1899168	20006_1899168	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba quina	19695	211522	19695_211522	parasite	parasite	.	.	pg	0	1	.	.
Acanthamoeba rhysodes	19698	32599	19698_32599	parasite	parasite	.	18s	pg	3	1	.	.
Acanthamoeba royreba	19655	32600	19655_32600	parasite	parasite	.	18s	pg	1	1	.	.
Acanthamoeba stevensoni	19942	65664	19942_65664	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba triangularis	19809	146752	19809_146752	parasite	parasite	.	18s	.	1	0	.	.
Acanthamoeba tubiashi	20008	65665	20008_65665	parasite	parasite	.	18s	.	1	0	.	.
Acanthocheilonema viteae	20185	6277	20185_6277	parasite	parasite	.	18s	.	1	0	.	.
Acanthocystis turfacea Chlorella virus 6	20347	322019	20347_322019	viral	plant_virus	DNA	virus	.	2	0	.	.
Acanthocystis turfacea Chlorella virus Br0604L	20348	1278268	20348_1278268	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus Can0610SP	20349	1278269	20349_1278269	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus GM0701.6	20351	1278271	20351_1278271	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus MN0810.6	20352	1278272	20352_1278272	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus MO0605SPH	20353	1278273	20353_1278273	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus NE-JV-2	20354	1278274	20354_1278274	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus NE-JV-3	20355	1278275	20355_1278275	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus NTS-6	20356	1278276	20356_1278276	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus OR0704.8	20357	1278277	20357_1278277	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus TN603.4.7	20358	1278278	20358_1278278	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthocystis turfacea Chlorella virus WI0611	20359	1278279	20359_1278279	viral	plant_virus	DNA	virus	.	1	0	.	.
Acanthohelicospora aurea	15927	1927032	15927_1927032	fungal	fungal	.	18s	.	1	0	.	.
Acanthopleuribacter pedis	14770	442870	14770_442870	bacterial	bacterial	.	16s	.	2	0	.	.
Acanthostigma perpusillum	18312	314180	18312_314180	fungal	fungal	.	18s	.	1	0	.	.
Acaricomes phytoseiuli	2119	291968	2119_291968	bacterial	bacterial	.	16s	bg	2	1	.	bg
Acaromyces ingoldii	19131	215250	19131_215250	fungal	fungal	.	18s	.	2	0	.	.
Acarospora peliscypha	18135	371069	18135_371069	fungal	fungal	.	18s	.	1	0	.	.
Acartia tonsa copepod circovirus	20362	1168547	20362_1168547	viral	viral	DNA	virus	.	1	0	.	.
Acaryochloris marina	4442	155978,329726	4442_155978	bacterial	bacterial	.	16s	bg	5	1	.	bg
Acaryochloris phage A-HIS1	20363	645116	20363_645116	viral	phage	DNA	virus	.	1	0	.	.
Acaryochloris phage A-HIS2	20364	645117	20364_645117	viral	phage	DNA	virus	.	1	0	.	.
Acaulopage tetraceros	17085	1172177	17085_1172177	fungal	fungal	.	18s	.	1	0	.	.
Acaulospora brasiliensis	18188	765251	18188_765251	fungal	fungal	.	18s	.	3	0	.	.
Acaulospora cavernata	16022	1079897	16022_1079897	fungal	fungal	.	18s	.	1	0	.	.
Acaulospora lacunosa	16116	62089	16116_62089	fungal	fungal	.	18s	.	3	0	.	.
Acaulospora laevis	18610	78545	18610_78545	fungal	fungal	.	18s	.	1	0	.	.
Acaulospora longula	17281	83433	17281_83433	fungal	fungal	.	18s	.	1	0	.	.
Acaulospora mellea	17868	94116	17868_94116	fungal	fungal	.	18s	.	1	0	.	.
Acaulospora spinosa	17622	27374	17622_27374	fungal	fungal	.	18s	.	2	0	.	.
Acerodon celebensis polyomavirus 1	20366	1623684	20366_1623684	viral	viral	DNA	virus	.	1	0	.	.
Acerodon celebensis polyomavirus 2	20367	1623685	20367_1623685	viral	viral	DNA	virus	.	1	0	.	.
Acervus beijingensis	16521	1708507	16521_1708507	fungal	fungal	.	18s	.	1	0	.	.
Acervus changchunensis	15709	1708508	15709_1708508	fungal	fungal	.	18s	.	1	0	.	.
Acervus epispartius	15942	352964	15942_352964	fungal	fungal	.	18s	.	1	0	.	.
Acetanaerobacterium elongatum	11224	258515	11224_258515	bacterial	bacterial	.	16s	.	3	0	.	.
Acetatifactor muris	8320	879566	8320_879566	bacterial	bacterial	.	16s	.	1	0	.	.
Acetivibrio ethanolgignens	4182	290052	4182_290052	bacterial	bacterial	.	16s	bg	2	1	.	bg
Acetoanaerobium noterae	10001	745369	10001_745369	bacterial	bacterial	.	16s	.	2	0	.	.
Acetoanaerobium pronyense	14926	1482736	14926_1482736	bacterial	bacterial	.	16s	.	1	0	.	.
Acetoanaerobium sticklandii	689	1511	689_1511	bacterial	bacterial	.	16s	bg	8	1	.	bg
Acetobacter aceti	3122	887700,435	3122_435	bacterial	bacterial	.	16s	bg	10	4	.	bg
Acetobacter ascendens	11197	481146	11197_481146	bacterial	bacterial	.	16s	.	5	0	.	.
Acetobacter cerevisiae	456	178900	456_178900	bacterial	bacterial	.	16s	bg	6	3	.	bg
Acetobacter cibinongensis	1151	146475	1151_146475	bacterial	bacterial	.	16s	bg	11	1	.	bg
Acetobacter estunensis	9446	104097	9446_104097	bacterial	bacterial	.	16s	.	7	0	.	.
Acetobacter fabarum	11078	483199	11078_483199	bacterial	bacterial	.	16s	.	5	0	.	.
Acetobacter farinalis	12628	1260984	12628_1260984	bacterial	bacterial	.	16s	.	2	0	.	.
Acetobacter ghanensis	316	431306	316_431306	bacterial	bacterial	.	16s	bg	8	1	.	bg
Acetobacter indonesiensis	3142	104101	3142_104101	bacterial	bacterial	.	16s	bg	9	1	.	bg
Acetobacter lambici	7111	1332824	7111_1332824	bacterial	bacterial	.	16s	.	3	0	.	.
Acetobacter lovaniensis	9606	104100	9606_104100	bacterial	bacterial	.	16s	.	8	0	.	.
Acetobacter malorum	2296	178901	2296_178901	bacterial	bacterial	.	16s	bg	13	6	.	bg
Acetobacter musti	14523	864732	14523_864732	bacterial	bacterial	.	16s	.	2	0	.	.
Acetobacter nitrogenifigens	1214	285268,1120919	1214_285268	bacterial	bacterial	.	16s	bg	8	1	.	bg
Acetobacter oeni	15256	304077	15256_304077	bacterial	bacterial	.	16s	.	3	0	.	.
Acetobacter okinawensis	3466	1236501,1076594	3466_1076594	bacterial	bacterial	.	16s	bg	8	1	.	bg
Acetobacter orientalis	2917	146474	2917_146474	bacterial	bacterial	.	16s	bg	10	1	.	bg
Acetobacter orleanensis	4856	104099	4856_104099	bacterial	bacterial	.	16s	bg	5	2	.	bg
Acetobacter papayae	1930	1234671,1076592	1930_1076592	bacterial	bacterial	.	16s	bg	3	1	.	bg
Acetobacter pasteurianus	2575	940265,438	2575_438	bacterial	bacterial	.	16s	bg	62	16	.	bg
Acetobacter peroxydans	7025	104098	7025_104098	bacterial	bacterial	.	16s	.	9	0	.	.
Acetobacter persici	2161	1236503,1076596	2161_1076596	bacterial	bacterial	.	16s	bg	5	1	.	bg
Acetobacter pomorum	4858	65959	4858_65959	bacterial	bacterial	.	16s	bg	9	2	.	bg
Acetobacter senegalensis	5277	446692	5277_446692	bacterial	bacterial	.	16s	bg	3	2	.	bg
Acetobacter sicerae	13581	85325	13581_85325	bacterial	bacterial	.	16s	.	5	0	.	.
Acetobacter suratthaniensis	9544	1502841	9544_1502841	bacterial	bacterial	.	16s	.	2	0	.	.
Acetobacter syzygii	1267	146476	1267_146476	bacterial	bacterial	.	16s	bg	9	1	.	bg
Acetobacter thailandicus	12522	1502842	12522_1502842	bacterial	bacterial	.	16s	.	3	0	.	.
Acetobacter tropicalis	2219	104102	2219_104102	bacterial	bacterial	.	16s	bg	19	5	.	bg
Acetobacterium bakii	2702	52689	2702_52689	bacterial	bacterial	.	16s	bg	3	1	.	bg
Acetobacterium carbinolicum	11946	52690,346376	11946_52690	bacterial	bacterial	.	16s	.	6	0	.	.
Acetobacterium dehalogenans	4110	82116	4110_82116	bacterial	bacterial	.	.	bg	0	1	.	bg
Acetobacterium fimetarium	7837	52691	7837_52691	bacterial	bacterial	.	16s	.	2	0	.	.
Acetobacterium malicum	11676	52692	11676_52692	bacterial	bacterial	.	16s	.	2	0	.	.
Acetobacterium paludosum	11010	52693	11010_52693	bacterial	bacterial	.	16s	.	2	0	.	.
Acetobacterium submarinus	8351	258721	8351_258721	bacterial	bacterial	.	16s	.	1	0	.	.
Acetobacterium tundrae	13476	132932	13476_132932	bacterial	bacterial	.	16s	.	2	0	.	.
Acetobacterium wieringae	3672	52694	3672_52694	bacterial	bacterial	.	16s	bg	4	1	.	bg
Acetobacterium woodii	2910	33952,931626	2910_33952	bacterial	bacterial	.	16s	bg	4	1	.	bg
Acetobacteroides hydrogenigenes	7349	979970	7349_979970	bacterial	bacterial	.	16s	.	2	0	.	.
Acetohalobium arabaticum	1880	28187	1880_28187	bacterial	bacterial	.	16s	bg	2	1	.	bg
Acetomicrobium flavidum	14294	49896	14294_49896	bacterial	bacterial	.	16s	.	3	0	.	.
Acetomicrobium hydrogeniformans	4751	592015,649746	4751_649746	bacterial	bacterial	.	16s	bg	2	1	.	bg
Acetomicrobium mobile	4933	891968,97477	4933_97477	bacterial	bacterial	.	16s	bg	3	1	.	bg
Acetomicrobium thermoterrenum	7680	1120986	7680_1120986	bacterial	bacterial	.	16s	.	4	0	.	.
Acetonema longum	4684	1009370,2374	4684_2374	bacterial	bacterial	.	16s	bg	1	1	.	bg
Acheta domesticus volvovirus	20372	1291515	20372_1291515	viral	viral	DNA	virus	.	1	0	.	.
Achimota virus 1	20375	1261100	20375_1261100	viral	viral	RNA	virus	.	1	0	.	.
Achimota virus 2	20376	1261101	20376_1261101	viral	viral	RNA	virus	.	1	0	.	.
Achiote virus	20377	2036702	20377_2036702	viral	viral	RNA	virus	.	3	0	.	.
Acholeplasma axanthum	2574	29552	2574_29552	bacterial	bacterial	.	16s	bg	3	1	.	bg
Acholeplasma brassicae	5416	61635,1318465	5416_61635	bacterial	bacterial	.	16s	bg	5	1	.	bg
Acholeplasma cavigenitalium	6771	264633	6771_264633	bacterial	bacterial	.	16s	.	2	0	.	.
Acholeplasma equifetale	857	264634	857_264634	bacterial	bacterial	.	16s	bg	2	1	.	bg
Acholeplasma granularum	5367	264635	5367_264635	bacterial	bacterial	.	16s	bg	2	1	.	bg
Acholeplasma hippikon	3205	264636	3205_264636	bacterial	bacterial	.	16s	bg	2	1	.	bg
Acholeplasma laidlawii	325	2148	325_2148	bacterial	bacterial	.	16s	bg	16	3	.	bg
Acholeplasma modicum	1925	2150	1925_2150	bacterial	bacterial	.	16s	bg	2	1	.	bg
Acholeplasma morum	14119	264637	14119_264637	bacterial	bacterial	.	16s	.	2	0	.	.
Acholeplasma multilocale	3939	264638	3939_264638	bacterial	bacterial	.	16s	bg	3	1	.	bg
Acholeplasma oculi	4233	35623	4233_35623	bacterial	bacterial	.	16s	bg	6	1	.	bg
Acholeplasma palmae	1947	1318466,38986	1947_38986	bacterial	bacterial	.	16s	bg	1	1	.	bg
Acholeplasma parvum	14581	264639	14581_264639	bacterial	bacterial	.	16s	.	2	0	.	.
Acholeplasma pleciae	5706	228419	5706_228419	bacterial	bacterial	.	16s	.	4	0	.	.
Acholeplasma virus L2	20378	46014	20378_46014	viral	phage	DNA	virus	.	1	0	.	.
Acholeplasma virus MV-L51	20379	1977403	20379_1977403	viral	phage	DNA	virus	.	1	0	.	.
Acholeplasma vituli	15090	69473	15090_69473	bacterial	bacterial	.	16s	.	2	0	.	.
Achroceratosphaeria potamia	18291	864583	18291_864583	fungal	fungal	.	18s	.	1	0	.	.
Achromatium minus	8925	81840	8925_81840	bacterial	bacterial	.	16s	.	3	0	.	.
Achromatium oxaliferum	12847	44938	12847_44938	bacterial	bacterial	.	16s	.	6	0	.	.
Achromobacter aegrifaciens	15076	1287736	15076_1287736	bacterial	bacterial	.	16s	.	4	0	.	.
Achromobacter agilis	14578	1353888	14578_1353888	bacterial	bacterial	.	16s	.	2	0	.	.
Achromobacter aloeverae	13635	1750518	13635_1750518	bacterial	bacterial	.	16s	.	2	0	.	.
Achromobacter animicus	6039	1389935	6039_1389935	bacterial	bacterial	.	16s	.	3	0	.	.
Achromobacter anxifer	9353	1287737	9353_1287737	bacterial	bacterial	.	16s	.	5	0	.	.
Achromobacter arsenitoxydans	3952	1147684	3952_1147684	bacterial	bacterial	.	.	bg	0	1	.	bg
Achromobacter cholinophagum	14447	1114982	14447_1114982	bacterial	bacterial	.	16s	.	1	0	.	.
Achromobacter deleyi	14660	1353891	14660_1353891	bacterial	bacterial	.	16s	.	3	0	.	.
Achromobacter denitrificans	2239	32002	2239_32002	bacterial	bacterial	.	16s	bg	20	2	.	bg
Achromobacter dolens	13126	1287738	13126_1287738	bacterial	bacterial	.	16s	.	1	0	.	.
Achromobacter insolitus	5896	217204	5896_217204	bacterial	bacterial	.	16s	bg	19	3	.	.
Achromobacter insuavis	2824	1287735	2824_1287735	bacterial	bacterial	.	16s	bg	2	1	.	bg
Achromobacter kerstersii	10002	1353890	10002_1353890	bacterial	bacterial	.	16s	.	3	0	.	.
Achromobacter marplatensis	9058	470868	9058_470868	bacterial	bacterial	.	16s	.	11	0	.	.
Achromobacter mucicolens	7155	1389922	7155_1389922	bacterial	bacterial	.	16s	.	4	0	.	.
Achromobacter pestifer	7235	1353889	7235_1353889	bacterial	bacterial	.	16s	.	3	0	.	.
Achromobacter phage JWAlpha	20380	1416008,1416009	20380_1416008	viral	phage	DNA	virus	.	3	0	.	.
Achromobacter phage JWF	20381	1589748	20381_1589748	viral	phage	DNA	virus	.	2	0	.	.
Achromobacter phage phiAxp-1	20382	1610509	20382_1610509	viral	phage	DNA	virus	.	2	0	.	.
Achromobacter phage phiAxp-2	20383	1664246	20383_1664246	viral	phage	DNA	virus	.	2	0	.	.
Achromobacter phage phiAxp-3	20384	1664247	20384_1664247	viral	phage	DNA	virus	.	2	0	.	.
Achromobacter piechaudii	5355	72556	5355_72556	bacterial	bacterial	.	16s	bg	14	4	.	bg
Achromobacter pulmonis	8035	1389932	8035_1389932	bacterial	bacterial	.	16s	.	4	0	.	.
Achromobacter ruhlandii	4503	72557	4503_72557	bacterial	bacterial	.	16s	bg	6	4	.	bg
Achromobacter spanius	994	217203	994_217203	bacterial	bacterial	.	16s	bg	12	1	.	bg
Achromobacter virus 83-24	20385	1589747	20385_1589747	viral	phage	DNA	virus	.	2	0	.	.
Achromobacter virus JWX	20386	1589746	20386_1589746	viral	phage	DNA	virus	.	2	0	.	.
Achromobacter xylosoxidans	4403	1167634,85698	4403_85698	bacterial	bacterial	.	16s	bg	149	46	.	bg
Aciculoconidium aculeatum	19580	43968	19580_43968	fungal	fungal	.	18s	.	2	0	.	.
Acidaminobacter hydrogenoformans	7694	65403	7694_65403	bacterial	bacterial	.	16s	.	2	0	.	.
Acidaminococcus fermentans	4885	905	4885_905	bacterial	bacterial	.	16s	bg	7	1	.	bg
Acidaminococcus intestini	2431	187327	2431_187327	bacterial	bacterial	.	16s	bg	2	3	.	bg
Acidaminococcus massiliensis	9506	1852375	9506_1852375	bacterial	bacterial	.	16s	.	4	0	.	.
Acidaminococcus timonensis	726	1871002	726_1871002	bacterial	bacterial	.	16s	bg	5	1	.	bg
Acidea extrema	17267	1249057	17267_1249057	fungal	fungal	.	18s	.	2	0	.	.
Acidianus bottle-shaped virus	20387	437444	20387_437444	viral	phage	DNA	virus	.	1	0	.	.
Acidianus bottle-shaped virus 2	20388	1732173	20388_1732173	viral	phage	DNA	virus	.	1	0	.	.
Acidianus bottle-shaped virus 3	20389	1732174	20389_1732174	viral	phage	DNA	virus	.	1	0	.	.
Acidianus filamentous virus 1	20390	235266	20390_235266	viral	phage	DNA	virus	.	1	0	.	.
Acidianus filamentous virus 2	20391	300186	20391_300186	viral	phage	DNA	virus	.	2	0	.	.
Acidianus filamentous virus 3	20392	346881	20392_346881	viral	phage	DNA	virus	.	2	0	.	.
Acidianus filamentous virus 6	20393	346882	20393_346882	viral	phage	DNA	virus	.	2	0	.	.
Acidianus filamentous virus 7	20394	346883	20394_346883	viral	phage	DNA	virus	.	2	0	.	.
Acidianus filamentous virus 8	20395	346884	20395_346884	viral	phage	DNA	virus	.	2	0	.	.
Acidianus filamentous virus 9	20396	512792	20396_512792	viral	phage	DNA	virus	.	2	0	.	.
Acidianus rod-shaped virus 1	20397	309181	20397_309181	viral	phage	DNA	virus	.	1	0	.	.
Acidianus rod-shaped virus 2	20398	1732175	20398_1732175	viral	phage	DNA	virus	.	1	0	.	.
Acidianus spindle-shaped virus 1	20399	693629	20399_693629	viral	phage	DNA	virus	.	1	0	.	.
Acidianus tailed spindle virus	20400	1797140	20400_1797140	viral	phage	DNA	virus	.	2	0	.	.
Acidianus two-tailed virus	20401	315953	20401_315953	viral	phage	DNA	virus	.	2	0	.	.
Acidianus two-tailed virus 2	20402	1898549	20402_1898549	viral	phage	DNA	virus	.	1	0	.	.
Acidianus two-tailed virus variant 1	20403	1898550	20403_1898550	viral	phage	DNA	virus	.	1	0	.	.
Acidibacillus ferrooxidans	4129	1765683	4129_1765683	bacterial	bacterial	.	.	bg	0	3	.	bg
Acidicaldus organivorans	10809	209650	10809_209650	bacterial	bacterial	.	16s	.	3	0	.	.
Acidicapsa acidisoli	10151	1615681	10151_1615681	bacterial	bacterial	.	16s	.	2	0	.	.
Acidicapsa borealis	11909	946336	11909_946336	bacterial	bacterial	.	16s	.	2	0	.	.
Acidicapsa ligni	6075	542300	6075_542300	bacterial	bacterial	.	16s	.	2	0	.	.
Acidiella bohemica	15786	1176733	15786_1176733	fungal	fungal	.	18s	.	2	0	.	.
Acidiferrobacter thiooxydans	4706	163359	4706_163359	bacterial	bacterial	.	16s	bg	4	1	.	bg
Acidihalobacter ferrooxidans	10221	1765967	10221_1765967	bacterial	bacterial	.	16s	.	2	0	.	.
Acidihalobacter prosperus	1731	160660	1731_160660	bacterial	bacterial	.	16s	bg	6	1	.	bg
Acidimicrobium ferrooxidans	4009	53635	4009_53635	bacterial	bacterial	.	16s	bg	4	1	.	bg
Acidiphilium acidophilum	12683	76588	12683_76588	bacterial	bacterial	.	16s	.	2	0	.	.
Acidiphilium angustum	5132	523	5132_523	bacterial	bacterial	.	16s	bg	3	1	.	bg
Acidiphilium cryptum	4626	524	4626_524	bacterial	bacterial	.	16s	bg	4	1	.	bg
Acidiphilium iwatense	9335	768198	9335_768198	bacterial	bacterial	.	16s	.	1	0	.	.
Acidiphilium multivorum	922	62140	922_62140	bacterial	bacterial	.	16s	bg	3	2	.	bg
Acidiphilium organovorum	12326	33999	12326_33999	bacterial	bacterial	.	16s	.	3	0	.	.
Acidiphilium rubrum	14092	526	14092_526	bacterial	bacterial	.	16s	.	1	0	.	.
Acidiphilium symbioticum	9355	94005	9355_94005	bacterial	bacterial	.	16s	.	1	0	.	.
Acidipila dinghuensis	12601	1560006	12601_1560006	bacterial	bacterial	.	16s	.	2	0	.	.
Acidipila rosea	6228	768535	6228_768535	bacterial	bacterial	.	16s	.	2	0	.	.
Acidipropionibacterium acidipropionici	4135	1748	4135_1748	bacterial	bacterial	.	16s	bg	12	5	.	bg
Acidipropionibacterium damnosum	10718	1243001	10718_1243001	bacterial	bacterial	.	16s	.	2	0	.	.
Acidipropionibacterium jensenii	2998	1749	2998_1749	bacterial	bacterial	.	16s	bg	4	1	.	bg
Acidipropionibacterium microaerophilum	7229	118367	7229_118367	bacterial	bacterial	.	16s	.	2	0	.	.
Acidipropionibacterium olivae	6601	1243000	6601_1243000	bacterial	bacterial	.	16s	.	2	0	.	.
Acidipropionibacterium thoenii	2755	1751	2755_1751	bacterial	bacterial	.	16s	bg	4	1	.	bg
Acidisoma sibiricum	14566	512383	14566_512383	bacterial	bacterial	.	16s	.	3	0	.	.
Acidisoma tundrae	6219	512382	6219_512382	bacterial	bacterial	.	16s	.	3	0	.	.
Acidisphaera rubrifaciens	5057	50715	5057_50715	bacterial	bacterial	.	16s	bg	2	1	.	bg
Aciditerrimonas ferrireducens	11890	667306,1294026	11890_667306	bacterial	bacterial	.	16s	.	2	0	.	.
Acidithiobacillus albertensis	14323	119978	14323_119978	bacterial	bacterial	.	16s	.	8	0	.	.
Acidithiobacillus caldus	3550	33059	3550_33059	bacterial	bacterial	.	16s	bg	14	4	.	bg
Acidithiobacillus cuprithermicus	7146	100486	7146_100486	bacterial	bacterial	.	16s	.	1	0	.	.
Acidithiobacillus ferridurans	12641	1232575	12641_1232575	bacterial	bacterial	.	16s	.	3	0	.	.
Acidithiobacillus ferriphilus	9705	1689834	9705_1689834	bacterial	bacterial	.	16s	.	4	0	.	.
Acidithiobacillus ferrivorans	2568	160808	2568_160808	bacterial	bacterial	.	16s	bg	5	4	.	bg
Acidithiobacillus ferrooxidans	3480	920	3480_920	bacterial	bacterial	.	16s	bg	109	5	.	bg
Acidithiobacillus phage AcaML1	20404	1229761	20404_1229761	viral	phage	DNA	virus	.	1	0	.	.
Acidithiobacillus thiooxidans	1920	930,637390	1920_930	bacterial	bacterial	.	16s	bg	65	8	.	bg
Acidithrix ferrooxidans	4017	1280514	4017_1280514	bacterial	bacterial	.	16s	bg	1	1	.	bg
Acidobacterium ailaaui	81	1382359	81_1382359	bacterial	bacterial	.	16s	bg	1	1	.	bg
Acidobacterium capsulatum	4011	33075	4011_33075	bacterial	bacterial	.	16s	bg	5	1	.	bg
Acidocella aluminiidurans	14428	472056	14428_472056	bacterial	bacterial	.	16s	.	3	0	.	.
Acidocella aminolytica	3222	33998	3222_33998	bacterial	bacterial	.	16s	bg	3	2	.	bg
Acidocella aromatica	11471	1303579	11471_1303579	bacterial	bacterial	.	16s	.	3	0	.	.
Acidocella facilis	932	525	932_525	bacterial	bacterial	.	16s	bg	3	1	.	bg
